SHITOMASI+BRIEF,115,111,104,101,102,102,100,109,100
SHITOMASI+BRISK,95,88,80,90,82,79,85,86,82
SHITOMASI+FREAK,86,90,86,88,86,80,81,86,85
SHITOMASI+ORB,106,102,99,102,103,97,98,104,97
SHITOMASI+SIFT,96,86,83,91,86,81,87,92,86
HARRIS+BRIEF,14,11,15,20,24,26,16,24,23
HARRIS+BRISK,12,10,14,15,16,16,15,23,21
HARRIS+FREAK,13,13,15,15,17,20,12,21,18
HARRIS+ORB,12,12,15,18,24,20,15,24,22
HARRIS+SIFT,15,12,15,18,22,28,15,21,20
ORB+BRIEF,49,43,45,59,53,78,68,84,66
ORB+BRISK,48,46,57,61,56,68,64,80,73
ORB+FREAK,42,43,52,52,58,63,58,75,69
ORB+ORB,49,46,58,58,52,75,67,83,74
ORB+SIFT,51,49,51,48,50,68,65,74,54
FAST+BRIEF,119,130,118,126,108,123,131,125,119
FAST+BRISK,97,104,101,98,85,107,107,100,100
FAST+FREAK,98,99,91,98,85,99,102,101,105
FAST+ORB,118,123,112,126,106,122,122,123,119
FAST+SIFT,100,103,99,104,96,107,107,106,102
BRISK+BRIEF,178,205,185,179,183,195,207,189,183
BRISK+BRISK,151,163,146,173,150,162,182,183,161
BRISK+FREAK,144,162,147,170,148,172,173,178,166
BRISK+ORB,169,199,175,187,179,185,200,203,178
BRISK+SIFT,137,151,145,146,144,151,156,165,166
AKAZE+BRIEF,141,134,131,130,134,146,150,148,152
AKAZE+BRISK,135,121,128,126,126,133,137,144,143
AKAZE+FREAK,126,126,130,117,126,128,147,146,133
AKAZE+ORB,139,134,132,124,139,141,144,157,150
AKAZE+SIFT,130,116,102,109,111,125,122,133,134
SIFT+BRIEF,86,78,76,85,69,74,76,70,88
SIFT+BRISK,62,62,63,63,56,60,60,66,71
SIFT+FREAK,65,70,64,64,61,60,63,66,76
SIFT+ORB,81,76,76,77,68,66,72,78,87
SIFT+SIFT,75,72,65,75,59,64,64,69,81
