SHITOMASI+BRIEF,22.7135ms,18.566ms,16.3846ms,17.7387ms,16.5781ms,15.3178ms,15.1461ms,16.717ms,17.1826ms
SHITOMASI+BRISK,343.178ms,341.631ms,341.863ms,343.202ms,345.476ms,346.993ms,350.054ms,340.712ms,346.048ms
SHITOMASI+FREAK,53.9967ms,51.1596ms,50.2005ms,50.4501ms,50.2884ms,49.1554ms,51.1311ms,47.6785ms,50.1887ms
SHITOMASI+ORB,12.3046ms,13.7994ms,12.2072ms,12.9995ms,12.1136ms,12.401ms,13.003ms,12.6215ms,12.5275ms
SHITOMASI+SIFT,24.6172ms,24.4797ms,23.3879ms,31.957ms,26.5352ms,25.1253ms,25.9635ms,25.1498ms,26.373ms
HARRIS+BRIEF,11.8967ms,12.3034ms,10.982ms,12.4392ms,28.6694ms,11.0226ms,13.4679ms,13.4745ms,19.9731ms
HARRIS+BRISK,335.295ms,331.756ms,338.382ms,339.753ms,347.306ms,334.783ms,336.584ms,330.634ms,341.357ms
HARRIS+FREAK,49.3071ms,50.0052ms,49.3959ms,50.495ms,62.3045ms,49.5061ms,52.1136ms,49.9159ms,56.5491ms
HARRIS+ORB,12.5105ms,12.215ms,11.9792ms,13.328ms,29.0623ms,12.4255ms,14.3999ms,12.8305ms,17.0117ms
HARRIS+SIFT,22.7119ms,27.7635ms,26.92ms,33.9157ms,38.7673ms,24.4153ms,27.1914ms,24.6566ms,32.3591ms
ORB+BRIEF,10.8408ms,7.91129ms,8.03641ms,8.28923ms,9.3289ms,8.4705ms,8.11267ms,8.60934ms,8.21836ms
ORB+BRISK,331.163ms,343.432ms,337.131ms,330.101ms,334.405ms,333.394ms,331.734ms,331.27ms,336.226ms
ORB+FREAK,45.658ms,45.5261ms,50.5248ms,44.545ms,45.3762ms,46.0517ms,45.9752ms,46.3802ms,46.0518ms
ORB+ORB,9.03893ms,8.30926ms,8.52755ms,8.74593ms,8.72138ms,8.4688ms,8.74012ms,8.99178ms,8.52629ms
ORB+SIFT,19.759ms,19.6396ms,21.2055ms,21.2952ms,24.1007ms,20.5314ms,20.1287ms,23.7621ms,21.4102ms
FAST+BRIEF,6.42135ms,6.37886ms,5.79473ms,5.83247ms,5.69113ms,6.14044ms,6.39282ms,5.95785ms,6.07994ms
FAST+BRISK,329.314ms,326.606ms,335.899ms,335.278ms,337.076ms,338.167ms,337.777ms,332.997ms,333.696ms
FAST+FREAK,45.7175ms,47.2466ms,46.3105ms,45.2688ms,43.8458ms,47.1543ms,45.2454ms,47.4323ms,47.6052ms
FAST+ORB,6.35534ms,5.94888ms,6.05209ms,5.73481ms,6.08146ms,6.0277ms,6.02658ms,5.8107ms,6.61954ms
FAST+SIFT,20.2597ms,19.8449ms,18.8524ms,18.916ms,21.3277ms,18.5218ms,23.9792ms,19.5576ms,18.8216ms
BRISK+BRIEF,368.653ms,367.995ms,367.253ms,370.611ms,373.816ms,371.637ms,367.302ms,369.442ms,365.568ms
BRISK+BRISK,699.174ms,693.112ms,694.384ms,700.014ms,691.566ms,689.516ms,687.074ms,687.411ms,682.436ms
BRISK+FREAK,402.893ms,407.146ms,407.985ms,409.18ms,410.283ms,404.087ms,408.864ms,403.699ms,408.226ms
BRISK+ORB,367.271ms,365.532ms,364.587ms,368.518ms,367.2ms,365.419ms,359.943ms,363.814ms,359.544ms
BRISK+SIFT,379.348ms,378.48ms,378.38ms,379.535ms,377.268ms,375.979ms,373.648ms,389.176ms,378.842ms
AKAZE+BRIEF,77.699ms,78.212ms,79.0117ms,69.0997ms,76.8779ms,73.1012ms,79.9738ms,78.0164ms,80.1116ms
AKAZE+BRISK,401.686ms,391.847ms,407.19ms,392.781ms,402.862ms,397.626ms,394.335ms,396.58ms,406.858ms
AKAZE+FREAK,120.741ms,112.207ms,122.899ms,116.815ms,115.802ms,116.903ms,113.602ms,110.369ms,113.48ms
AKAZE+ORB,76.4748ms,76.4086ms,81.039ms,74.5064ms,73.8154ms,73.0433ms,69.425ms,74.2748ms,77.7468ms
AKAZE+SIFT,90.0228ms,85.7303ms,90.356ms,79.3951ms,79.557ms,90.9062ms,87.3295ms,85.0884ms,88.6563ms
SIFT+BRIEF,120.545ms,125.078ms,119.873ms,124.799ms,124.14ms,124.896ms,127.547ms,123.795ms,126.063ms
SIFT+BRISK,447.141ms,440.122ms,442.596ms,446.838ms,454.935ms,426.282ms,422.788ms,450.407ms,445.233ms
SIFT+FREAK,163.089ms,160.847ms,164.343ms,162.736ms,160.181ms,167.472ms,158.571ms,169.214ms,165.909ms
SIFT+ORB,125.344ms,125.081ms,126.454ms,121.181ms,122.215ms,127.75ms,124.283ms,127.275ms,124.399ms
SIFT+SIFT,133.657ms,137.85ms,137.977ms,132.831ms,145.347ms,138.885ms,136.972ms,141.199ms,137.304ms
